,Count,Kowwin Mean,Kowwin Standard Deviation,Kowwin Minimum,Kowwin Maximum,Kowwin Median,Kowwin Q1,Kowwin Q3,Wildman-Crippen Mean,Wildman-Crippen Standard Deviation,Wildman-Crippen Minimum,Wildman-Crippen Maximum,Wildman-Crippen Median,Wildman-Crippen Q1,Wildman-Crippen Q3,Meylan-Kowwin Mean,Meylan-Kowwin Standard Deviation,Meylan-Kowwin Minimum,Meylan-Kowwin Maximum,Meylan-Kowwin Median,Meylan-Kowwin Q1,Meylan-Kowwin Q3,MLogP Mean,MLogP Standard Deviation,MLogP Minimum,MLogP Maximum,MLogP Median,MLogP Q1,MLogP Q3,ALogP Mean,ALogP Standard Deviation,ALogP Minimum,ALogP Maximum,ALogP Median,ALogP Q1,ALogP Q3,consensus logp Mean,consensus logp Standard Deviation,consensus logp Minimum,consensus logp Maximum,consensus logp Median,consensus logp Q1,consensus logp Q3
Without nitrile,13330,0.37836851712928227,0.47378570510454415,0.0,18.24,0.25,0.1099999999999994,0.49,0.6082042550637659,0.5994088590908088,3.552713678800501e-15,14.519199999999962,0.4518799999999999,0.20702499999999985,0.8154249999999997,0.6394380073614683,0.679422904837371,0.0,21.64,0.4399999999999995,0.18,0.8700000000000001,0.7379564866636414,0.6848537987061687,0.0,11.53,0.56,0.2599999999999998,1.01,0.5493725608833762,0.6040280780245008,0.0,16.75,0.3899999999999997,0.1700000000000003,0.71,0.450714800900225,0.4892205676543884,3.5999999999702936e-05,15.707839999999994,0.3255600000000003,0.14973,0.5841069999999999
With nitro,1199,0.32939032527105916,0.3225162642011535,0.0,2.97,0.24,0.1099999999999998,0.4599999999999999,0.5169435362802334,0.4699022340952261,0.0005000000000014,3.7032000000000007,0.4015999999999993,0.19709999999999986,0.7085700000000026,0.5953475355054302,0.542364135712082,0.0,3.98,0.4400000000000001,0.1899999999999999,0.8499999999999996,0.653984126984127,0.5534142284729082,0.0,3.86,0.53,0.2299999999999999,0.95,0.5144519632414369,0.5020991191901701,0.0,3.2,0.3899999999999999,0.1600000000000001,0.7000000000000002,0.41346271392827355,0.36779040176636374,0.00034,2.67592,0.33092,0.15062000000000048,0.553377
Without nitro,12646,0.3806093494649164,0.4810577387492621,0.0,18.24,0.25,0.1,0.4900000000000002,0.6165242377036216,0.6085124221075492,3.552713678800501e-15,14.519199999999962,0.45570000000000044,0.20800000000000002,0.8266,0.6470526980329611,0.6916534985512515,0.0,21.64,0.4399999999999999,0.1799999999999999,0.8899999999999997,0.7565521664008505,0.708233256530615,0.0,11.53,0.5699999999999998,0.2599999999999998,1.03,0.5580340909090908,0.6141912731184624,0.0,16.75,0.39,0.1799999999999999,0.7100000000000004,0.4563231712794559,0.49756977573493627,3.5999999999702936e-05,15.707839999999994,0.3265100000000002,0.15099499999999902,0.5934100000000001
With sulfide,656,0.4505487804878049,0.5172632067891042,0.0,3.42,0.3,0.12,0.59,0.6390808231707318,0.551038188569465,0.0005200000000004,3.204190000000004,0.486050000000002,0.2047000000000011,0.94025,0.882091603053435,0.8113586167975957,0.0,4.63,0.6699999999999999,0.27,1.225,0.9015877862595421,0.7002266438488298,0.0,3.79,0.7299999999999999,0.3399999999999998,1.3699999999999999,0.5064732824427481,0.482788082119009,0.0,3.39,0.3899999999999999,0.1899999999999999,0.655,0.4812627530487804,0.4513934407219933,0.0030400000000008,2.854820000000001,0.3598619999999999,0.17776499999999992,0.6482599999999996
Without sulfide,13189,0.3724743978567998,0.4668804612779728,0.0,18.24,0.25,0.1,0.48,0.606349517779968,0.6006590860695286,3.552713678800501e-15,14.519199999999962,0.4483000000000001,0.2077,0.8076000000000001,0.6305535723385822,0.6706353260980038,0.0,21.64,0.4299999999999999,0.1799999999999999,0.8600000000000003,0.7399054553330277,0.6956519102402553,0.0,11.53,0.5599999999999998,0.25,1.0074999999999998,0.5566279238648524,0.610766708785011,0.0,16.75,0.39,0.1799999999999997,0.72,0.4511863107134733,0.48955065565180866,3.5999999999702936e-05,15.707839999999994,0.3253239999999997,0.1493599999999999,0.5852399999999998
With sulfonamide,639,0.41533646322378714,0.39462950892068716,0.0,2.92,0.31,0.1100000000000001,0.59,0.5888879342723002,0.4798141166910127,0.0009000000000001,3.1831,0.4622000000000001,0.23744999999999994,0.8465999999999994,0.6955712050078247,0.609422058440412,0.0,3.83,0.5000000000000001,0.24,1.0,0.7138810641627542,0.6156808996209916,0.0,3.64,0.5399999999999998,0.25,1.01,0.4838028169014084,0.45254497889501244,0.0,3.02,0.3500000000000001,0.1700000000000001,0.6599999999999998,0.42251650391236295,0.38702465955709026,0.00174,2.31898,0.3300200000000002,0.14958799999999994,0.5568299999999998
Without sulfonamide,13206,0.37427872431722947,0.4729216332548028,0.0,18.24,0.25,0.1,0.48,0.6088203407542025,0.6035706169128153,3.552713678800501e-15,14.519199999999962,0.44889499999999977,0.20626999999999956,0.8125799999999999,0.6399604392528121,0.6832659238672485,0.0,21.64,0.4300000000000001,0.1799999999999999,0.8700000000000001,0.7492604341629765,0.7003897185419655,0.0,11.53,0.5699999999999998,0.2599999999999998,1.02,0.5576726599480836,0.611644447961538,0.0,16.75,0.3900000000000001,0.1799999999999997,0.72,0.45406758836892314,0.49215642475881727,3.5999999999702936e-05,15.707839999999994,0.32711999999999913,0.15099499999999902,0.5906749999999991
With ether,4995,0.37586316316316315,0.44272171073959693,0.0,18.24,0.27,0.1099999999999999,0.52,0.5507948148148146,0.5271002041161784,3.552713678800501e-15,14.519199999999962,0.4229,0.1949499999999999,0.7543999999999993,0.664781695800683,0.6947677335554157,0.0,21.64,0.4699999999999997,0.1899999999999999,0.9399999999999996,0.7625731364275669,0.6784822570315145,0.0,7.39,0.59,0.2600000000000002,1.0499999999999998,0.4993623668876834,0.5151953042405549,0.0,16.75,0.3799999999999999,0.1799999999999999,0.6799999999999997,0.42152031111111105,0.4366322258892312,3.5999999999702936e-05,15.707839999999994,0.3188599999999999,0.1470279999999999,0.5672819999999992
Without ether,8850,0.3763489642184557,0.48423094392645605,0.0,9.16,0.2399999999999997,0.1,0.47,0.6401311536723163,0.6329095072314861,0.0001800000000007,12.1221,0.4676599999999986,0.21609999999999985,0.8533449999999987,0.6299147640791476,0.6713192696565188,0.0,6.960000000000001,0.42,0.1799999999999997,0.8399999999999999,0.7391160578386606,0.7067348053149639,0.0,11.53,0.55,0.25,1.0025000000000002,0.5854132420091324,0.6490112789854651,0.0,10.84,0.3999999999999999,0.1799999999999997,0.7399999999999998,0.4701593970621469,0.5136856014128424,8.000000000005225e-05,10.122420000000002,0.331258,0.15324500000000038,0.6017949999999996
With aromatic hydroxyl,1031,0.4519689621726479,0.7721968114027489,0.0,18.24,0.28,0.1200000000000001,0.56,0.7340036469447134,0.7153771906040816,0.0003000000000032,14.519199999999962,0.5984999999999978,0.3010999999999992,1.0092399999999997,0.7238243902439024,0.9603163939832399,0.0,21.64,0.51,0.2200000000000002,0.92,0.8746439024390243,0.7926939610241337,0.0,7.39,0.6600000000000001,0.31,1.1800000000000002,0.6563609756097559,0.8040712303008263,0.0,16.75,0.48,0.2299999999999995,0.86,0.5594504810863239,0.7159924855206105,0.0021999999999997,15.707839999999994,0.4091600000000004,0.20112000000000013,0.7211400000000001
Without aromatic hydroxyl,12814,0.37007529524998695,0.435773606099431,0.0,9.16,0.25,0.1,0.48,0.5977542570625878,0.5868588960139999,3.552713678800501e-15,12.1221,0.43992999999999993,0.20342500000000197,0.7948300000000014,0.6359936936228237,0.6518820213191443,0.0,6.960000000000001,0.4300000000000001,0.1799999999999999,0.8799999999999999,0.7373720238095238,0.6873873371154957,0.0,11.53,0.5599999999999996,0.25,1.01,0.5460019273127753,0.5856766197401151,0.0,10.84,0.3800000000000003,0.1700000000000001,0.7000000000000001,0.44401523115342584,0.4636072472587231,3.5999999999702936e-05,10.122420000000002,0.3212999999999999,0.14813000000000026,0.5791399999999999
With aromatic nitrogen,4043,0.4033811526094484,0.3884965055127305,0.0,4.13,0.29,0.1299999999999999,0.5500000000000003,0.5898310413059609,0.516546425811594,0.0001800000000007,5.222599999999999,0.4559000000000004,0.2213499999999998,0.822190000000001,0.7577851425712856,0.652415972029951,0.0,4.36,0.5700000000000001,0.25,1.09,0.7475175087543772,0.6083833551295575,0.0,5.81,0.6000000000000003,0.2799999999999999,1.09,0.5350137568784391,0.5719651883579668,0.0,5.47,0.3799999999999999,0.1699999999999999,0.69,0.45133077764036605,0.4029441081591207,8.000000000005225e-05,3.87652,0.3467200000000001,0.16293800000000008,0.61235
Without aromatic nitrogen,9802,0.3649515234986057,0.49889817564787486,0.0,18.24,0.2299999999999999,0.0999999999999998,0.4599999999999999,0.6153533880840643,0.6289710149074007,3.552713678800501e-15,14.519199999999962,0.44654999999999956,0.20339999999999966,0.810600000000004,0.5952404593216277,0.6855760982325554,0.0,21.64,0.3899999999999999,0.1600000000000001,0.79,0.7476546017729404,0.7298938909451952,0.0,11.53,0.5499999999999999,0.2499999999999999,1.0,0.5621276825136051,0.6184015617840362,0.0,16.75,0.3900000000000001,0.1799999999999999,0.7200000000000002,0.4531395923280962,0.5188395476195308,3.5999999999702936e-05,15.707839999999994,0.31852000000000014,0.146741,0.5790689999999998
With aromatic amine,671,0.3773621460506706,0.3288739970990787,0.0,2.55,0.2999999999999998,0.1200000000000001,0.54,0.502602995529061,0.4307104599163013,0.0001800000000007,2.6841,0.3984999999999998,0.1732000000000002,0.7056000000000011,0.7537779433681072,0.6435202833593268,0.0,3.51,0.5599999999999998,0.23000000000000015,1.1199999999999999,0.6488748137108793,0.4897418227614617,0.0,3.5,0.5800000000000001,0.2599999999999999,0.93,0.42725037257824133,0.4160471448913564,0.0,3.02,0.3099999999999999,0.1300000000000001,0.6000000000000001,0.3809695946348733,0.3134159777997824,0.0003600000000001,2.44022,0.3126959999999998,0.13410799999999995,0.539732
Without aromatic amine,13174,0.37611316481959406,0.47572838830357506,0.0,18.24,0.25,0.1,0.48,0.6132635645969332,0.605245454737966,3.552713678800501e-15,14.519199999999962,0.45349999999999685,0.20932499999999982,0.8196750000000004,0.6368350553599674,0.6814479887128253,0.0,21.64,0.43,0.1799999999999999,0.87,0.7526854558906066,0.7053297265080629,0.0,11.53,0.56,0.2599999999999998,1.03,0.5607578065207408,0.6128075667536015,0.0,16.75,0.3900000000000001,0.1799999999999999,0.72,0.4562603628358888,0.4948091871914607,3.5999999999702936e-05,15.707839999999994,0.32762000000000013,0.1516900000000001,0.5921660000000002
With aniline,3391,0.3849660867000884,0.4071479408669563,0.0,9.16,0.28,0.1199999999999996,0.52,0.6245717192568563,0.5870247190248615,0.0011999999999997,12.1221,0.4849999999999999,0.22569999999999985,0.87035,0.6937174170616113,0.6250165500424175,0.0,6.960000000000001,0.52,0.2299999999999999,0.97,0.7493068720379147,0.6829258466509162,0.0,11.53,0.57,0.25749999999999984,1.06,0.5891972748815166,0.5735236827723149,0.0,10.84,0.4500000000000002,0.22999999999999976,0.7799999999999998,0.47781796343261573,0.45096303485469086,3.5999999999702936e-05,10.122420000000002,0.3666000000000002,0.17843999999999985,0.6558400000000002
Without aniline,10454,0.37332167910209807,0.488208002076109,0.0,18.24,0.24,0.1,0.48,0.6024926449206044,0.602002176542524,3.552713678800501e-15,14.519199999999962,0.4412600000000013,0.20350000000000418,0.7960749999999991,0.6258741273364861,0.6963119962841633,0.0,21.64,0.41,0.1699999999999999,0.8499999999999996,0.74706333043786,0.7011581188415766,0.0,10.07,0.56,0.2599999999999998,1.01,0.5428449473988997,0.6149741936738788,0.0,16.75,0.37,0.1699999999999999,0.69,0.4444350396020662,0.49895995759467865,8.000000000005225e-05,15.707839999999994,0.3146500000000003,0.14355499999999993,0.565982
With phenol,862,0.4603596287703017,0.8341960030845458,0.0,18.24,0.27,0.1100000000000003,0.5599999999999996,0.7156994431554519,0.753659324462353,0.0003000000000032,14.519199999999962,0.5500000000000014,0.25970000000000054,0.9626499999999993,0.7262733644859812,1.0129053586270202,0.0,21.64,0.5099999999999998,0.2199999999999999,0.92,0.9191238317757009,0.819314784934032,0.0099999999999997,7.39,0.6999999999999998,0.3399999999999999,1.22,0.6797429906542055,0.8526593373468948,0.0,16.75,0.5099999999999998,0.2299999999999999,0.8924999999999997,0.5795254361948955,0.762274803789038,0.0021999999999997,15.707839999999994,0.41809999999999936,0.202525,0.7471690000000003
Without phenol,12983,0.37058421268838737,0.4342519303310913,0.0,9.16,0.25,0.1,0.48,0.6007431171532003,0.5859982187801999,3.552713678800501e-15,12.1221,0.4442000000000012,0.20510000000000078,0.8022999999999999,0.6369832958103667,0.6516575448116797,0.0,6.960000000000001,0.4300000000000001,0.1799999999999999,0.8799999999999999,0.7362171544652331,0.6862948580029182,0.0,11.53,0.5599999999999996,0.25,1.01,0.5458960096265817,0.5843256212634215,0.0,10.84,0.3800000000000003,0.1700000000000003,0.7000000000000001,0.44418498744512047,0.4627187312049525,3.5999999999702936e-05,10.122420000000002,0.321444,0.1483520000000001,0.5792199999999998
With bicyclic,3311,0.401667170039263,0.4146386830670167,0.0,9.16,0.29,0.1299999999999999,0.5499999999999998,0.5983759035538104,0.5644793385200385,3.552713678800501e-15,12.1221,0.4567999999999999,0.21335000000000026,0.8190500000000014,0.7845293045854843,0.6847111484544687,0.0,6.960000000000001,0.61,0.27,1.1199999999999997,0.8024825387184937,0.722167039982835,0.0,11.53,0.6299999999999999,0.29,1.11,0.5961924283834396,0.6294102855850643,0.0,10.84,0.4199999999999999,0.1999999999999999,0.78,0.4729086326386791,0.4489205669179451,3.5999999999702936e-05,10.122420000000002,0.3577999999999997,0.17444600000000005,0.6361399999999998
Without bicyclic,10534,0.368160701854313,0.48541302156088284,0.0,18.24,0.2399999999999995,0.1,0.47,0.6108940756914119,0.6086958771115168,0.0001800000000007,14.519199999999962,0.44754999999999984,0.20626999999999956,0.8124000000000002,0.5977802406485382,0.6724705999505054,0.0,21.64,0.3900000000000001,0.1600000000000001,0.7999999999999999,0.7303148378654412,0.6875997943300736,0.0,10.07,0.54,0.25,1.0,0.5410077396910506,0.5969948977509493,0.0,16.75,0.3799999999999999,0.1699999999999999,0.6900000000000004,0.44623164375672425,0.4992925307617843,8.000000000005225e-05,15.707839999999994,0.31704999999999983,0.14494500000000127,0.5747450000000002
With rings,12682,0.3745895626347054,0.45255715006011027,0.0,18.24,0.2599999999999998,0.1099999999999998,0.4900000000000002,0.5982897250696524,0.582108468518372,3.552713678800501e-15,14.519199999999962,0.4506499999999998,0.20954999999999988,0.8034949999999997,0.6532124738528344,0.6744085928068647,0.0,21.64,0.4500000000000002,0.19,0.9,0.7525834591045092,0.6901590153155831,0.0,11.53,0.58,0.26,1.03,0.5518865543993432,0.5955564178086235,0.0,16.75,0.3900000000000001,0.1799999999999999,0.72,0.45124557312201014,0.4772974069410472,3.5999999999702936e-05,15.707839999999994,0.3304300000000002,0.15333000000000002,0.591803
Without rings,1163,0.39344797936371445,0.6265761966427917,0.0,4.2700000000000005,0.1899999999999999,0.08,0.4300000000000001,0.7127003582688448,0.7460550168222333,0.0007,4.679299999999999,0.4365000000000001,0.1904999999999999,0.9610400000000003,0.5255923344947734,0.7296813424132069,0.0,5.12,0.27,0.1100000000000003,0.6200000000000003,0.6931271777003484,0.7629464190177567,0.0,7.029999999999999,0.43000000000000005,0.2,0.8600000000000001,0.5800058072009292,0.7037403838870899,0.0,4.2,0.3499999999999998,0.16,0.6625000000000001,0.4675049524218974,0.5907225907431652,0.00094,4.47465,0.2880359999999999,0.1282899999999999,0.5548299999999997
With saturated rings,2849,0.46914408564408566,0.48738823588906144,0.0,6.199999999999999,0.33,0.14,0.6300000000000003,0.6834159939159937,0.59538582900115,3.552713678800501e-15,4.749599999999997,0.5333999999999959,0.2469999999999945,0.9536,0.8619496999647017,0.7542091258230295,0.0,6.199999999999999,0.6699999999999995,0.2999999999999998,1.23,0.8573319802329686,0.762189491725271,0.0,10.07,0.6799999999999997,0.3000000000000002,1.1800000000000002,0.6453999882339099,0.6202097177599248,0.0,4.79,0.47,0.22,0.8700000000000001,0.5442549507429507,0.49698858490798997,0.0003399999999995,4.75236,0.4111799999999999,0.1972800000000001,0.7513600000000001
Without saturated rings,10996,0.3520856068873529,0.4619399816205161,0.0,18.24,0.2299999999999999,0.0999999999999999,0.4500000000000002,0.5883347256578149,0.5976796480386767,0.0001800000000007,14.519199999999962,0.4330000000000007,0.19755999999999868,0.7753199999999958,0.5855436842748838,0.6474513375138522,0.0,21.64,0.3999999999999999,0.1600000000000001,0.79,0.7191087368549768,0.675776619125239,0.0,11.53,0.5300000000000002,0.2400000000000002,0.98,0.5305510210320371,0.5992038802180456,0.0,16.75,0.3700000000000001,0.1699999999999999,0.6799999999999997,0.4288670665090336,0.4826299124958592,3.5999999999702936e-05,15.707839999999994,0.3087599999999995,0.142434,0.552845
With aromatic rings,11546,0.3660760580864946,0.44427703731720275,0.0,18.24,0.25,0.1099999999999998,0.48,0.5872940960794502,0.5771756875789021,3.552713678800501e-15,14.519199999999962,0.44136000000000014,0.20540499999999945,0.7891850000000001,0.6323289293915875,0.6550907480154488,0.0,21.64,0.4399999999999999,0.1899999999999999,0.8700000000000001,0.7443707305020203,0.6783437985481839,0.0,11.53,0.5700000000000001,0.26,1.02,0.5395627307345717,0.5912988755839909,0.0,16.75,0.3800000000000003,0.1700000000000001,0.7,0.44215962162942424,0.4710779085768777,3.5999999999702936e-05,15.707839999999994,0.32484,0.15041999999999983,0.5811900000000008
Without aromatic rings,2299,0.4268858924169928,0.5780589006504578,0.0,4.2700000000000005,0.24,0.1,0.52,0.7113889415687981,0.6862255576893878,0.000499999999997,4.749599999999997,0.5060799999999999,0.2226000000000007,0.9558000000000002,0.6941656387665197,0.7925918009691608,0.0,5.720000000000001,0.4199999999999999,0.1600000000000001,0.92,0.7640017621145374,0.7828226675467835,0.0,10.07,0.5299999999999998,0.24,1.03,0.6283615271659324,0.6671279918372445,0.0,4.2,0.4199999999999999,0.1899999999999999,0.7999999999999999,0.5051020559663622,0.5617105943491043,0.0003399999999995,4.47465,0.33872,0.15365000000000023,0.6303799999999999
