,Count,Kowwin Mean,Kowwin Standard Deviation,Kowwin Minimum,Kowwin Maximum,Kowwin Median,Kowwin IQR,Wildman-Crippen Mean,Wildman-Crippen Standard Deviation,Wildman-Crippen Minimum,Wildman-Crippen Maximum,Wildman-Crippen Median,Wildman-Crippen IQR,Meylan-Kowwin Mean,Meylan-Kowwin Standard Deviation,Meylan-Kowwin Minimum,Meylan-Kowwin Maximum,Meylan-Kowwin Median,Meylan-Kowwin IQR,MLogP Mean,MLogP Standard Deviation,MLogP Minimum,MLogP Maximum,MLogP Median,MLogP IQR,ALogP Mean,ALogP Standard Deviation,ALogP Minimum,ALogP Maximum,ALogP Median,ALogP IQR,consensus logp Mean,consensus logp Standard Deviation,consensus logp Minimum,consensus logp Maximum,consensus logp Median,consensus logp IQR,,Kowwin diff,Wildman-Crippen diff,Meylan-Kowwin diff,MLogP diff,ALogP diff,consensus diff,,avg MAE,avg SD
With carboxylic acid,1223,0.637833197,0.872741372,0,4.27,0.29,0.59,0.891723908,0.858309155,0.00122,4.6793,0.577,1.05265,0.871093621,0.990571307,0,5.12,0.48,0.985,1.014258492,0.870724076,0,4.11,0.72,1.235,0.960488815,1.033973346,0,4.66,0.52,1.115,0.7471024,0.840780575,0.00164,4.47465,0.407956,0.73581,,0.287012817,0.31132441,0.25056195,0.292329269,0.445386141,0.32302552,,0.853750072,0.911183305
Without carboxylic acid,12622,0.35082038,0.401164081,0,18.24,0.25,0.38,0.580399498,0.55939267,3.55E-15,14.5192,0.4416,0.58485,0.620531671,0.638053848,0,21.64,0.43,0.68,0.721929223,0.67205714,0,11.53,0.55,0.74,0.515102674,0.530494054,0,16.75,0.38,0.52,0.42407688,0.428231911,3.60E-05,15.70784,0.320648,0.422675,,,,,,,,,0.535476721,0.538232284
With amide,4063,0.449219788,0.576423447,0,4.02,0.27,0.45,0.583603079,0.521363325,0.0003,4.4134,0.4471,0.5921,0.723811284,0.731859528,0,5.12,0.51,0.76,0.74230845,0.640740906,0,5.79,0.58,0.74,0.572010347,0.609332666,0,4.56,0.41,0.54,0.489433927,0.527317029,3.60E-05,3.59538,0.34608,0.47724,,0.103386131,-0.034389305,0.115346536,-0.00753172,0.025228316,0.05211696,,0.593397813,0.601172817
Without amide,9782,0.345833657,0.413627322,0,18.24,0.24,0.36,0.617992384,0.627403489,3.55E-15,14.5192,0.45095,0.613275,0.608464748,0.654205779,0,21.64,0.41,0.66,0.74984017,0.718890855,0,11.53,0.56,0.78,0.546782031,0.603560611,0,16.75,0.38,0.54,0.437316967,0.469646,8.00E-05,15.70784,0.31887,0.426463,,,,,,,,,0.551038326,0.581222343
With ester,1750,0.388207143,0.569175389,0,18.24,0.28,0.4,0.603691411,0.61776119,0.0005,14.5192,0.45395,0.655775,0.716243546,0.814017958,0,21.64,0.52,0.78,0.807035284,0.698894603,0,7.39,0.62,0.85,0.541768503,0.613378078,0,16.75,0.41,0.54,0.461091427,0.54213821,3.60E-05,15.70784,0.35769,0.456306,,0.01377454,-0.00481796,0.084406016,0.068055739,-0.014279855,0.009707002,,0.586339552,0.642560905
Without ester,12095,0.374432603,0.453460879,0,9.16,0.24,0.38,0.608509371,0.595596505,3.55E-15,12.1221,0.4493,0.60221,0.63183753,0.657716508,0,6.96,0.43,0.68,0.738979545,0.695984826,0,11.53,0.56,0.76,0.556048358,0.604189366,0,10.84,0.39,0.53875,0.451384425,0.479483158,8.00E-05,10.12242,0.32292,0.43526,,,,,,,,,0.560198639,0.581071874
With benzene,9257,0.360918674,0.460965525,0,18.24,0.24,0.37,0.581442262,0.593578833,3.55E-15,14.5192,0.4301,0.5751,0.600153661,0.651282968,0,21.64,0.41,0.64,0.747839067,0.701822533,0,11.53,0.56,0.76,0.550780967,0.615635571,0,16.75,0.39,0.53,0.442188515,0.492345505,3.60E-05,15.70784,0.31894,0.42348,,-0.046034392,-0.079841475,-0.12875547,0.000681428,-0.010494882,-0.031452622,,0.547220524,0.585938489
Without benzene,4588,0.406953066,0.485330115,0,4.27,0.27,0.41,0.661283737,0.604628689,0.00024,5.2226,0.49559,0.6783675,0.728909131,0.72776366,0,5.72,0.49,0.83,0.747157639,0.686215641,0,10.07,0.57,0.79,0.561275849,0.583868869,0,5.47,0.39,0.54,0.473641137,0.477971816,8.00E-05,4.47465,0.34125,0.465785,,,,,,,,,0.59653676,0.594296465
With ketone,984,0.32476626,0.335899358,0,3,0.22,0.36,0.565347957,0.513755155,0.0007,3.9576,0.4326,0.57355,0.765361876,0.747784378,0,4.1,0.51,0.84,0.846044852,0.769759838,0,4.92,0.62,0.91,0.544801223,0.525131311,0,4.56,0.39,0.6,0.480353492,0.445427394,0.00034,2.54352,0.34557,0.467878,,-0.055340639,-0.045808129,0.132259663,0.105999919,-0.010160873,0.029864667,,0.587779277,0.556292906
Without ketone,12861,0.380106899,0.478140974,0,18.24,0.25,0.38,0.611156086,0.604306507,3.55E-15,14.5192,0.4511,0.6116,0.633102213,0.673707751,0,21.64,0.43,0.69,0.740044933,0.690210862,0,11.53,0.56,0.76,0.554962096,0.611105129,0,16.75,0.39,0.53,0.450488825,0.490881995,3.60E-05,15.70784,0.32586,0.43568,,,,,,,,,0.561643509,0.591392203
With halogen,3925,0.355497028,0.392459597,0,6.2,0.25,0.37,0.610487444,0.644377492,0.00018,4.7852,0.4296,0.5817,0.623459589,0.635865875,0,6.2,0.41,0.7,0.774453179,0.725503692,0,4.92,0.58,0.8,0.574412465,0.611158027,0,5.13,0.39,0.56,0.456576545,0.477712769,0.00034,4.75236,0.32758,0.42522,,-0.02885771,0.00361067,-0.026515063,0.037281844,0.028026851,0.005534037,,0.565814375,0.581179575
Without halogen,9920,0.384354738,0.496688611,0,18.24,0.25,0.39,0.606876774,0.579265234,3.55E-15,14.5192,0.45915,0.61705,0.649974652,0.69642899,0,21.64,0.45,0.7,0.737171335,0.684914771,0,11.53,0.56,0.76,0.546385614,0.602936197,0,16.75,0.39,0.52,0.451042508,0.491799816,3.60E-05,15.70784,0.32712,0.44383,,,,,,,,,0.56263427,0.592005603
With primary amine,2424,0.446087046,0.66035773,0,9.16,0.24,0.38,0.628558853,0.700909707,0.0003,12.1221,0.41236,0.61085,0.788284944,0.828170328,0,6.96,0.52,0.87,0.725945666,0.726502319,0,11.53,0.51,0.7,0.635228121,0.788714689,0,10.84,0.39,0.535,0.521225975,0.650840063,0.00034,10.12242,0.326428,0.45663,,0.084751801,0.025043036,0.176761296,-0.02628179,0.09823258,0.083177393,,0.624221768,0.725915806
Without primary amine,11421,0.361335245,0.416681621,0,18.24,0.25,0.38,0.603515817,0.574262636,3.55E-15,14.5192,0.4579,0.60478,0.611523648,0.639960866,0,21.64,0.42,0.66,0.752227456,0.690132149,0,10.07,0.57,0.78,0.536995541,0.557138468,0,16.75,0.39,0.53,0.438048582,0.444312176,3.60E-05,15.70784,0.3274,0.43444,,,,,,,,,0.550607715,0.553747986
With secondary amine,4898,0.448709473,0.555316542,0,6.2,0.29,0.45,0.626569169,0.566551598,0.00018,4.5493,0.4703,0.65736,0.74348465,0.732946119,0,6.2,0.52,0.77,0.776419157,0.679791502,0,5.79,0.59,0.8,0.594916905,0.635277565,0,4.56,0.41,0.56,0.502125831,0.531377371,0.00034,4.75236,0.35389,0.490905,,0.112245202,0.028888939,0.156657644,0.044705321,0.063137163,0.076620936,,0.615370864,0.616876783
Without secondary amine,8947,0.336464271,0.409990009,0,18.24,0.23,0.35,0.59768023,0.614962455,3.55E-15,14.5192,0.4409,0.58014,0.586827006,0.642353364,0,21.64,0.4,0.64,0.731713836,0.705391008,0,11.53,0.55,0.75,0.531779742,0.587021964,0,16.75,0.38,0.52,0.425504895,0.460045854,3.60E-05,15.70784,0.31424,0.4129,,,,,,,,,0.534994997,0.569960776
With tertiary amine,7887,0.390960209,0.404862844,0,6.2,0.27,0.42,0.618548394,0.575857426,0.00018,5.6643,0.4712,0.61218,0.728478273,0.667822976,0,6.2,0.53,0.79,0.774867226,0.686044584,0,5.81,0.6,0.82,0.576124322,0.585358287,0,5.47,0.42,0.56,0.475875344,0.443233866,3.60E-05,4.75236,0.36154,0.471528,,0.034360399,0.024743489,0.199128577,0.063152482,0.050720869,0.054060006,,0.594142295,0.560529997
Without tertiary amine,5958,0.35659981,0.543108117,0,18.24,0.22,0.35,0.593804905,0.626817109,3.55E-15,14.5192,0.4241,0.59381,0.529349696,0.679585713,0,21.64,0.34,0.55,0.711714744,0.708947802,0,11.53,0.51,0.71,0.525403453,0.629628612,0,16.75,0.35,0.51,0.421815338,0.539755163,8.00E-05,15.70784,0.28323,0.386815,,,,,,,,,0.523114658,0.621307086
With aliphatic hydroxyl,1810,0.463257827,0.467777443,0,3.38,0.33,0.46,0.5813584,0.5114399,0.0005,4.1997,0.4339,0.6366,0.82262289,0.727920346,0,4.1,0.61,0.98,0.751862363,0.698848033,0,5.79,0.56,0.76,0.533746986,0.521999352,0,4.79,0.37,0.56,0.48361322,0.452218711,0.00034,2.76218,0.35287,0.515725,,0.10018112,-0.030533757,0.207177454,0.004886944,-0.023573212,0.035664347,,0.606076948,0.563367298
Without aliphatic hydroxyl,12035,0.363076707,0.468566435,0,18.24,0.24,0.37,0.611892157,0.610352185,3.55E-15,14.5192,0.45198,0.60285,0.615445436,0.668441606,0,21.64,0.42,0.67,0.746975419,0.696400436,0,11.53,0.56,0.76,0.557320198,0.616891105,0,16.75,0.39,0.53,0.447948873,0.49281986,3.60E-05,15.70784,0.3236,0.42803,,,,,,,,,0.557109798,0.592245271
With unbranched alkane >4,1039,0.378238691,0.39172372,0,4.77,0.26,0.4,0.809480366,0.665093335,0.0007,5.6643,0.634,0.8059,0.5975,0.578871871,0,3.98,0.43,0.6525,0.99702,0.856490803,0,5.79,0.755,1.03,0.53285,0.509123152,0,3.93,0.4,0.54,0.538607069,0.446897618,0.00034,4.159056,0.42534,0.54182,,0.002232535,0.217934941,-0.048583994,0.268986463,-0.023065561,0.092972845,,0.642282688,0.574700083
Without unbranched alkane >4,12806,0.376006156,0.475438438,0,18.24,0.25,0.38,0.591545425,0.589698685,3.55E-15,14.5192,0.4365,0.5881,0.646083994,0.687300287,0,21.64,0.44,0.71,0.728033537,0.678741782,0,11.53,0.55,0.74,0.555915561,0.612260191,0,16.75,0.39,0.53,0.445634224,0.490363658,3.60E-05,15.70784,0.319362,0.427469,,,,,,,,,0.55720315,0.588967174
With alkyl halide,1098,0.391141469,0.439645559,0,6.2,0.27,0.42,0.561338212,0.536210541,0.0007,4.6793,0.41385,0.59825,0.657690192,0.624703735,0,6.2,0.47,0.73,0.6674641,0.609810786,0,4.92,0.49,0.7,0.518979529,0.490700557,0,3.74,0.37,0.55,0.413261973,0.40343685,0.00136,4.75236,0.31281,0.401055,,0.016257065,-0.05057294,0.016449339,-0.087065382,-0.038298649,-0.042738888,,0.534979246,0.517418005
Without alkyl halide,12747,0.374884404,0.472152743,0,18.24,0.25,0.38,0.611911152,0.603332641,3.55E-15,14.5192,0.4539,0.60749,0.641240853,0.684665098,0,21.64,0.43,0.7,0.754529482,0.703284493,0,11.53,0.57,0.77,0.557278178,0.61417027,0,16.75,0.39,0.53,0.456000861,0.494300152,3.60E-05,15.70784,0.32844,0.44153,,,,,,,,,0.565974155,0.595317566
With nitrile,515,0.319364078,0.341722143,0,3.65,0.22,0.36,0.600035126,0.572810182,0.00018,3.87668,0.41738,0.59315,0.722373786,0.692892494,0,3.64,0.48,0.885,0.99557767,0.918262861,0,4.92,0.67,1.35,0.67911165,0.626374597,0,3.21,0.46,0.68,0.501701596,0.448193052,0.002336,2.649336,0.374564,0.531148,,-0.059004439,-0.008169129,0.082935779,0.257621183,0.129739089,0.050986795,,0.636360651,0.600042555
Without nitrile,13330,0.378368517,0.473785705,0,18.24,0.25,0.38,0.608204255,0.599408859,3.55E-15,14.5192,0.45188,0.6084,0.639438007,0.679422905,0,21.64,0.44,0.69,0.737956487,0.684853799,0,11.53,0.56,0.75,0.549372561,0.604028078,0,16.75,0.39,0.54,0.450714801,0.489220568,3.60E-05,15.70784,0.32556,0.434377,,,,,,,,,0.560675771,0.588453319
With nitro,1199,0.329390325,0.322516264,0,2.97,0.24,0.35,0.516943536,0.469902234,0.0005,3.7032,0.4016,0.51147,0.595347536,0.542364136,0,3.98,0.44,0.66,0.653984127,0.553414228,0,3.86,0.53,0.72,0.514451963,0.502099119,0,3.2,0.39,0.54,0.413462714,0.367790402,0.00034,2.67592,0.33092,0.402757,,-0.051219024,-0.099580702,-0.051705162,-0.102568039,-0.043582128,-0.042860457,,0.503930034,0.459681064
Without nitro,12646,0.380609349,0.481057739,0,18.24,0.25,0.39,0.616524238,0.608512422,3.55E-15,14.5192,0.4557,0.6186,0.647052698,0.691653499,0,21.64,0.44,0.71,0.756552166,0.708233257,0,11.53,0.57,0.77,0.558034091,0.614191273,0,16.75,0.39,0.53,0.456323171,0.497569776,3.60E-05,15.70784,0.32651,0.442415,,,,,,,,,0.569182619,0.600202994
With sulfide,656,0.45054878,0.517263207,0,3.42,0.3,0.47,0.639080823,0.551038189,0.00052,3.20419,0.48605,0.73555,0.882091603,0.811358617,0,4.63,0.67,0.955,0.901587786,0.700226644,0,3.79,0.73,1.03,0.506473282,0.482788082,0,3.39,0.39,0.465,0.481262753,0.451393441,0.00304,2.85482,0.359862,0.470495,,0.078074382,0.032731305,0.251538031,0.161682331,-0.050154642,0.030076442,,0.643507505,0.58567803
Without sulfide,13189,0.372474398,0.466880461,0,18.24,0.25,0.38,0.606349518,0.600659086,3.55E-15,14.5192,0.4483,0.5999,0.630553572,0.670635326,0,21.64,0.43,0.68,0.739905455,0.69565191,0,11.53,0.56,0.7575,0.556627924,0.610766709,0,16.75,0.39,0.54,0.451186311,0.489550656,3.60E-05,15.70784,0.325324,0.43588,,,,,,,,,0.559516196,0.589024025
With sulfonamide,639,0.415336463,0.394629509,0,2.92,0.31,0.48,0.588887934,0.479814117,0.0009,3.1831,0.4622,0.60915,0.695571205,0.609422058,0,3.83,0.5,0.76,0.713881064,0.6156809,0,3.64,0.54,0.76,0.483802817,0.452544979,0,3.02,0.35,0.49,0.422516504,0.38702466,0.00174,2.31898,0.33002,0.407242,,0.041057739,-0.019932407,0.055610766,-0.03537937,-0.073869843,-0.031551084,,0.553332665,0.489852704
Without sulfonamide,13206,0.374278724,0.472921633,0,18.24,0.25,0.38,0.608820341,0.603570617,3.55E-15,14.5192,0.448895,0.60631,0.639960439,0.683265924,0,21.64,0.43,0.69,0.749260434,0.700389719,0,11.53,0.57,0.76,0.55767266,0.611644448,0,16.75,0.39,0.54,0.454067588,0.492156425,3.60E-05,15.70784,0.32712,0.43968,,,,,,,,,0.564010031,0.593991461
With ether,4995,0.375863163,0.442721711,0,18.24,0.27,0.41,0.550794815,0.527100204,3.55E-15,14.5192,0.4229,0.55945,0.664781696,0.694767734,0,21.64,0.47,0.75,0.762573136,0.678482257,0,7.39,0.59,0.79,0.499362367,0.515195304,0,16.75,0.38,0.5,0.421520311,0.436632226,3.60E-05,15.70784,0.31886,0.420254,,-0.000485801,-0.089336339,0.034866932,0.023457078,-0.086050875,-0.048639086,,0.545815915,0.549149906
Without ether,8850,0.376348964,0.484230944,0,9.16,0.24,0.37,0.640131154,0.632909507,0.00018,12.1221,0.46766,0.637245,0.629914764,0.67131927,0,6.96,0.42,0.66,0.739116058,0.706734805,0,11.53,0.55,0.7525,0.585413242,0.649011279,0,10.84,0.4,0.56,0.470159397,0.513685601,8.00E-05,10.12242,0.331258,0.44855,,,,,,,,,0.57351393,0.609648568
With aromatic hydroxyl,1031,0.451968962,0.772196811,0,18.24,0.28,0.44,0.734003647,0.715377191,0.0003,14.5192,0.5985,0.70814,0.72382439,0.960316394,0,21.64,0.51,0.7,0.874643902,0.792693961,0,7.39,0.66,0.87,0.656360976,0.80407123,0,16.75,0.48,0.63,0.559450481,0.715992486,0.0022,15.70784,0.40916,0.52002,,0.081893667,0.13624939,0.087830696,0.137271878,0.110359049,0.11543525,,0.666708726,0.793441346
Without aromatic hydroxyl,12814,0.370075295,0.435773606,0,9.16,0.25,0.38,0.597754257,0.586858896,3.55E-15,12.1221,0.43993,0.591405,0.635993694,0.651882021,0,6.96,0.43,0.7,0.737372024,0.687387337,0,11.53,0.56,0.76,0.546001927,0.58567662,0,10.84,0.38,0.53,0.444015231,0.463607247,3.60E-05,10.12242,0.3213,0.43101,,,,,,,,,0.555202071,0.568530955
With aromatic nitrogen,4043,0.403381153,0.388496506,0,4.13,0.29,0.42,0.589831041,0.516546426,0.00018,5.2226,0.4559,0.60084,0.757785143,0.652415972,0,4.36,0.57,0.84,0.747517509,0.608383355,0,5.81,0.6,0.81,0.535013757,0.571965188,0,5.47,0.38,0.52,0.451330778,0.402944108,8.00E-05,3.87652,0.34672,0.449412,,0.03842963,-0.025522347,0.162544684,-0.000137093,-0.027113926,-0.001808814,,0.580809897,0.523458593
Without aromatic nitrogen,9802,0.364951523,0.498898176,0,18.24,0.23,0.36,0.615353388,0.628971015,3.55E-15,14.5192,0.44655,0.6072,0.595240459,0.685576098,0,21.64,0.39,0.63,0.747654602,0.729893891,0,11.53,0.55,0.75,0.562127683,0.618401562,0,16.75,0.39,0.54,0.453139592,0.518839548,3.60E-05,15.70784,0.31852,0.432328,,,,,,,,,0.556411208,0.613430048
With aromatic amine,671,0.377362146,0.328873997,0,2.55,0.3,0.42,0.502602996,0.43071046,0.00018,2.6841,0.3985,0.5324,0.753777943,0.643520283,0,3.51,0.56,0.89,0.648874814,0.489741823,0,3.5,0.58,0.67,0.427250373,0.416047145,0,3.02,0.31,0.47,0.380969595,0.313415978,0.00036,2.44022,0.312696,0.405624,,0.001248981,-0.110660569,0.116942888,-0.103810642,-0.133507434,-0.075290768,,0.515139645,0.437051614
Without aromatic amine,13174,0.376113165,0.475728388,0,18.24,0.25,0.38,0.613263565,0.605245455,3.55E-15,14.5192,0.4535,0.61035,0.636835055,0.681447989,0,21.64,0.43,0.69,0.752685456,0.705329727,0,11.53,0.56,0.77,0.560757807,0.612807567,0,16.75,0.39,0.54,0.456260363,0.494809187,3.60E-05,15.70784,0.32762,0.440476,,,,,,,,,0.565985902,0.595894719
With aniline,3391,0.384966087,0.407147941,0,9.16,0.28,0.4,0.624571719,0.587024719,0.0012,12.1221,0.485,0.64465,0.693717417,0.62501655,0,6.96,0.52,0.74,0.749306872,0.682925847,0,11.53,0.57,0.8025,0.589197275,0.573523683,0,10.84,0.45,0.55,0.477817963,0.450963035,3.60E-05,10.12242,0.3666,0.4774,,0.011644408,0.022079074,0.06784329,0.002243542,0.046352328,0.033382923,,0.586596222,0.554433629
Without aniline,10454,0.373321679,0.488208002,0,18.24,0.24,0.38,0.602492645,0.602002177,3.55E-15,14.5192,0.44126,0.592575,0.625874127,0.696311996,0,21.64,0.41,0.68,0.74706333,0.701158119,0,10.07,0.56,0.75,0.542844947,0.614974194,0,16.75,0.37,0.52,0.44443504,0.498959958,8.00E-05,15.70784,0.31465,0.422427,,,,,,,,,0.556005295,0.600269074
With phenol,862,0.460359629,0.834196003,0,18.24,0.27,0.45,0.715699443,0.753659324,0.0003,14.5192,0.55,0.70295,0.726273364,1.012905359,0,21.64,0.51,0.7,0.919123832,0.819314785,0.01,7.39,0.7,0.88,0.679742991,0.852659337,0,16.75,0.51,0.6625,0.579525436,0.762274804,0.0022,15.70784,0.4181,0.544644,,0.089775416,0.114956326,0.089290068,0.182906678,0.133846981,0.135340449,,0.680120783,0.839168269
Without phenol,12983,0.370584213,0.43425193,0,9.16,0.25,0.38,0.600743117,0.585998219,3.55E-15,12.1221,0.4442,0.5972,0.636983296,0.651657545,0,6.96,0.43,0.7,0.736217154,0.686294858,0,11.53,0.56,0.76,0.54589601,0.584325621,0,10.84,0.38,0.53,0.444184987,0.462718731,3.60E-05,10.12242,0.321444,0.430868,,,,,,,,,0.55576813,0.567541151
With bicyclic,3311,0.40166717,0.414638683,0,9.16,0.29,0.42,0.598375904,0.564479339,3.55E-15,12.1221,0.4568,0.6057,0.784529305,0.684711148,0,6.96,0.61,0.85,0.802482539,0.72216704,0,11.53,0.63,0.82,0.596192428,0.629410286,0,10.84,0.42,0.58,0.472908633,0.448920567,3.60E-05,10.12242,0.3578,0.461694,,0.033506468,-0.012518172,0.186749064,0.072167701,0.055184688,0.026676989,,0.60935933,0.577387844
Without bicyclic,10534,0.368160702,0.485413022,0,18.24,0.24,0.37,0.610894076,0.608695877,0.00018,14.5192,0.44755,0.60613,0.597780241,0.6724706,0,21.64,0.39,0.64,0.730314838,0.687599794,0,10.07,0.54,0.75,0.54100774,0.596994898,0,16.75,0.38,0.52,0.446231644,0.499292531,8.00E-05,15.70784,0.31705,0.4298,,,,,,,,,0.549064874,0.591744454
With rings,12682,0.374589563,0.45255715,0,18.24,0.26,0.38,0.598289725,0.582108469,3.55E-15,14.5192,0.45065,0.593945,0.653212474,0.674408593,0,21.64,0.45,0.71,0.752583459,0.690159015,0,11.53,0.58,0.77,0.551886554,0.595556418,0,16.75,0.39,0.54,0.451245573,0.477297407,3.60E-05,15.70784,0.33043,0.438473,,-0.018858416,-0.114410633,0.12762014,0.059456281,-0.028119253,-0.016259379,,0.563634558,0.578681175
Without rings,1163,0.393447979,0.626576197,0,4.27,0.19,0.35,0.712700358,0.746055017,0.0007,4.6793,0.4365,0.77054,0.525592334,0.729681342,0,5.12,0.27,0.51,0.693127178,0.762946419,0,7.03,0.43,0.66,0.580005807,0.703740384,0,4.2,0.35,0.5025,0.467504952,0.590722591,0.00094,4.47465,0.288036,0.42654,,,,,,,,,0.562063101,0.693286992
With saturated rings,2849,0.469144086,0.487388236,0,6.2,0.33,0.49,0.683415994,0.595385829,3.55E-15,4.7496,0.5334,0.7066,0.8619497,0.754209126,0,6.2,0.67,0.93,0.85733198,0.762189492,0,10.07,0.68,0.88,0.645399988,0.620209718,0,4.79,0.47,0.65,0.544254951,0.496988585,0.00034,4.75236,0.41118,0.55408,,0.117058479,0.095081268,0.276406016,0.138223243,0.114848967,0.115387884,,0.676916117,0.619395164
Without saturated rings,10996,0.352085607,0.461939982,0,18.24,0.23,0.35,0.588334726,0.597679648,0.00018,14.5192,0.433,0.57776,0.585543684,0.647451338,0,21.64,0.4,0.63,0.719108737,0.675776619,0,11.53,0.53,0.74,0.530551021,0.59920388,0,16.75,0.37,0.51,0.428867067,0.482629912,3.60E-05,15.70784,0.30876,0.410411,,,,,,,,,0.534081807,0.577446897
With aromatic rings,11546,0.366076058,0.444277037,0,18.24,0.25,0.37,0.587294096,0.577175688,3.55E-15,14.5192,0.44136,0.58378,0.632328929,0.655090748,0,21.64,0.44,0.68,0.744370731,0.678343799,0,11.53,0.57,0.76,0.539562731,0.591298876,0,16.75,0.38,0.53,0.442159622,0.471077909,3.60E-05,15.70784,0.32484,0.43077,,-0.060809834,-0.124094846,-0.06183671,-0.019631031,-0.088798796,-0.062942434,,0.551965361,0.56954401
Without aromatic rings,2299,0.426885892,0.578058901,0,4.27,0.24,0.42,0.711388942,0.686225558,0.0005,4.7496,0.50608,0.7332,0.694165639,0.792591801,0,5.72,0.42,0.76,0.764001762,0.782822668,0,10.07,0.53,0.79,0.628361527,0.667127992,0,4.2,0.42,0.61,0.505102056,0.561710594,0.00034,4.47465,0.33872,0.47673,,,,,,,,,0.62165097,0.678089586
